State,X,Y,Year,NatGasC
DC,8,4,1962,"14,742"
DC,8,4,1963,"15,335"
DC,8,4,1964,"16,266"
DC,8,4,1965,"17,315"
DC,8,4,1966,"17,611"
DC,8,4,1967,"21,923"
DC,8,4,1968,"22,957"
DC,8,4,1969,"25,229"
DC,8,4,1970,"26,402"
DC,8,4,1971,"27,663"
DC,8,4,1972,"28,976"
DC,8,4,1973,"28,177"
DC,8,4,1974,"27,559"
DC,8,4,1975,"26,210"
DC,8,4,1976,"29,040"
DC,8,4,1977,"26,212"
DC,8,4,1978,"26,551"
DC,8,4,1979,"30,129"
DC,8,4,1980,"27,952"
DC,8,4,1981,"29,429"
DC,8,4,1982,"29,778"
DC,8,4,1983,"29,633"
DC,8,4,1984,"29,802"
DC,8,4,1985,"29,336"
DC,8,4,1986,"29,972"
DC,8,4,1987,"31,422"
DC,8,4,1988,"33,079"
DC,8,4,1989,"33,757"
DC,8,4,1990,"29,095"
DC,8,4,1991,"31,287"
DC,8,4,1992,"33,187"
DC,8,4,1993,"33,325"
DC,8,4,1994,"31,188"
DC,8,4,1995,"33,201"
DC,8,4,1996,"34,213"
DC,8,4,1997,"34,826"
DC,8,4,1998,"31,235"
DC,8,4,1999,"32,964"
DC,8,4,2000,"34,377"
DC,8,4,2001,"30,577"
DC,8,4,2002,"33,688"
DC,8,4,2003,"33,700"
DC,8,4,2004,"33,097"
DC,8,4,2005,"33,753"
DC,8,4,2006,"29,775"
DC,8,4,2007,"33,856"
DC,8,4,2008,"32,774"
DC,8,4,2009,"34,339"
DC,8,4,2010,"33,717"
DC,8,4,2011,"33,389"
DC,8,4,2012,"29,389"
DC,8,4,2013,"33,725"
DC,8,4,2014,"35,302"
DC,8,4,2015,"33,654"
DC,8,4,2016,"30,160"
DC,8,4,2017,"31,358"
DE,9,3,1960,"9,351"
DE,9,3,1961,"9,708"
DE,9,3,1962,"14,999"
DE,9,3,1963,"17,082"
DE,9,3,1964,"17,826"
DE,9,3,1965,"18,742"
DE,9,3,1966,"19,845"
DE,9,3,1967,"21,948"
DE,9,3,1968,"25,069"
DE,9,3,1969,"26,949"
DE,9,3,1970,"26,949"
DE,9,3,1971,"26,981"
DE,9,3,1972,"24,569"
DE,9,3,1973,"23,408"
DE,9,3,1974,"20,772"
DE,9,3,1975,"18,975"
DE,9,3,1976,"19,662"
DE,9,3,1977,"16,261"
DE,9,3,1978,"21,263"
DE,9,3,1979,"25,758"
DE,9,3,1980,"30,840"
DE,9,3,1981,"31,716"
DE,9,3,1982,"28,752"
DE,9,3,1983,"35,512"
DE,9,3,1984,"43,865"
DE,9,3,1985,"39,456"
DE,9,3,1986,"33,604"
DE,9,3,1987,"37,254"
DE,9,3,1988,"29,930"
DE,9,3,1989,"35,901"
DE,9,3,1990,"40,145"
DE,9,3,1991,"43,374"
DE,9,3,1992,"40,994"
DE,9,3,1993,"43,069"
DE,9,3,1994,"50,397"
DE,9,3,1995,"62,739"
DE,9,3,1996,"55,935"
DE,9,3,1997,"48,141"
DE,9,3,1998,"42,322"
DE,9,3,1999,"58,089"
DE,9,3,2000,"50,181"
DE,9,3,2001,"51,817"
DE,9,3,2002,"53,782"
DE,9,3,2003,"47,978"
DE,9,3,2004,"49,739"
DE,9,3,2005,"48,639"
DE,9,3,2006,"44,788"
DE,9,3,2007,"49,937"
DE,9,3,2008,"49,752"
DE,9,3,2009,"51,652"
DE,9,3,2010,"56,087"
DE,9,3,2011,"81,710"
DE,9,3,2012,"104,421"
DE,9,3,2013,"100,682"
DE,9,3,2014,"107,057"
DE,9,3,2015,"107,828"
DE,9,3,2016,"113,556"
DE,9,3,2017,"103,105"
